나이,성별,스타일,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속,상의 카테고리,상의 색상,상의 기장,상의 소재,상의 프린트,하의 카테고리,하의 색상,하의 기장,하의 소재,하의 프린트,Cluster
20대,남성,스트리트,20.7,맑음,48.1,1.7,재킷,퍼플,노멀,패딩,무지,팬츠,민트,발목,패딩,레터링,0
20대,남성,스트리트,20.7,맑음,48.1,1.7,티셔츠,핑크,롱,저지,레터링,팬츠,블랙,노멀,우븐,무지,0
20대,남성,스트리트,20.7,맑음,48.1,1.7,재킷,블루,발목,데님,무지,팬츠,블루,발목,데님,무지,0
20대,남성,스트리트,20.7,맑음,48.1,1.7,재킷,블루,발목,데님,무지,청바지,블루,발목,데님,무지,0
20대,남성,스트리트,20.7,맑음,48.1,1.7,셔츠,블루,발목,데님,무지,팬츠,블루,발목,데님,무지,0
20대,남성,스트리트,20.7,맑음,48.1,1.7,재킷,블루,발목,데님,무지,청바지,블루,발목,데님,무지,0
20대,남성,스트리트,20.7,맑음,48.1,1.7,재킷,블루,발목,데님,무지,조거팬츠,블루,발목,데님,무지,0
20대,남성,스트리트,20.7,맑음,48.1,1.7,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
30대,남성,스트리트,20.7,맑음,48.1,1.7,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
30대,남성,스트리트,20.7,맑음,48.1,1.7,재킷,블랙,노멀,우븐,무지,조거팬츠,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.6,맑음,44.5,1.6,재킷,블랙,노말,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.6,맑음,44.5,1.6,재킷,블랙,노말,우븐,무지,팬츠,카키,노말,우븐,무지,0
20대,남성,스트리트,19.6,맑음,44.5,1.6,패딩,블랙,노멀,우븐,무지,스커트,블랙,노말,우븐,무지,0
20대,남성,스트리트,19.6,맑음,44.5,1.6,티셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.6,맑음,44.5,1.6,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
30대,남성,스트리트,12.8,맑음,61.53514063267166,17.2,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
10대,남성,스트리트,12.8,맑음,61.53514063267166,17.2,점퍼,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,16
20대,남성,스트리트,18.7,비,43.4,1.6,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,발목,우븐,무지,0
20대,남성,스트리트,18.7,비,43.4,1.6,티셔츠,블루,발목,데님,무지,청바지,블루,발목,데님,무지,0
20대,남성,스트리트,18.7,비,43.4,1.6,티셔츠,블루,노멀,저지,레터링,팬츠,블랙,발목,우븐,무지,0
20대,남성,스트리트,18.7,비,43.4,1.6,티셔츠,퍼플,노말,우븐,레터링,청바지,퍼플,노말,우븐,레터링,0
20대,남성,스트리트,18.7,비,43.4,1.6,점퍼,스카이블루,노말,우븐,무지,팬츠,스카이블루,노말,우븐,무지,0
20대,남성,스트리트,18.7,비,43.4,1.6,재킷,블랙,롱,우븐,무지,팬츠,블랙,롱,우븐,무지,0
20대,남성,스트리트,18.7,비,43.4,1.6,티셔츠,오렌지,롱,우븐,무지,팬츠,오렌지,발목,우븐,무지,0
20대,남성,스트리트,18.7,비,43.4,1.6,티셔츠,퍼플,노멀,우븐,무지,팬츠,퍼플,발목,우븐,무지,0
20대,남성,스트리트,18.7,비,43.4,1.6,점퍼,그린,노멀,우븐,무지,팬츠,그린,노멀,우븐,무지,0
20대,남성,스트리트,18.5,맑음,61.53514063267166,13.7,점퍼,그레이,롱,패딩,무지,테스트 하의 카테고리,테스트 하의 색상,테스트 하의 기장,테스트 하의 소재,테스트 하의 프린트,16
20대,남성,스트리트,16.6,맑음,43.3,2.2,티셔츠,그레이,롱,패딩,무지,청바지,그레이,롱,패딩,무지,0
20대,남성,스트리트,16.6,맑음,43.3,2.2,재킷,그레이,롱,패딩,무지,팬츠,그레이,롱,패딩,무지,0
20대,남성,스트리트,16.6,맑음,43.3,2.2,티셔츠,그레이,롱,패딩,무지,청바지,그레이,롱,패딩,무지,0
20대,남성,스트리트,16.6,맑음,43.3,2.2,셔츠,그레이,롱,패딩,무지,청바지,그레이,롱,패딩,무지,0
20대,남성,스트리트,18.5,맑음,61.53514063267166,13.7,가디건,그레이,롱,패딩,무지,청바지,그레이,롱,패딩,무지,16
20대,남성,스트리트,18.5,맑음,61.53514063267166,13.7,티셔츠,그레이,롱,패딩,무지,팬츠,그레이,롱,패딩,무지,16
20대,남성,스트리트,18.6,맑음,37.4,3.7,티셔츠,그레이,롱,패딩,무지,팬츠,그레이,롱,패딩,무지,18
20대,남성,스트리트,16.6,맑음,43.3,2.2,가디건,그레이,롱,패딩,무지,팬츠,그레이,롱,패딩,무지,0
20대,남성,스트리트,17.3,맑음,36.0,4.3,티셔츠,스카이블루,발목,우븐,무지,팬츠,스카이블루,발목,우븐,무지,18
20대,남성,스트리트,15.6,맑음,48.3,2.3,티셔츠,스카이블루,발목,우븐,무지,팬츠,스카이블루,발목,우븐,무지,0
20대,남성,스트리트,18.4,맑음,61.53514063267166,14.6,재킷,스카이블루,발목,우븐,무지,팬츠,스카이블루,발목,우븐,무지,16
20대,남성,스트리트,15.0,맑음,33.4,2.3,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.0,맑음,33.4,2.3,티셔츠,그린,노멀,우븐,무지,팬츠,그린,노멀,우븐,무지,18
20대,남성,스트리트,15.2,맑음,49.0,3.9,재킷,퍼플,노멀,우븐,카무플라쥬,팬츠,퍼플,노멀,우븐,카무플라쥬,0
20대,남성,스트리트,15.2,맑음,49.0,3.9,재킷,퍼플,노멀,우븐,카무플라쥬,팬츠,퍼플,발목,우븐,카무플라쥬,0
20대,남성,스트리트,15.2,맑음,49.0,3.9,티셔츠,퍼플,노멀,우븐,카무플라쥬,팬츠,퍼플,노멀,우븐,카무플라쥬,0
20대,남성,스트리트,15.2,맑음,49.0,3.9,점퍼,퍼플,노멀,우븐,카무플라쥬,청바지,퍼플,노멀,우븐,카무플라쥬,0
20대,남성,스트리트,15.0,맑음,33.4,2.3,셔츠,퍼플,노멀,우븐,카무플라쥬,팬츠,퍼플,노멀,우븐,카무플라쥬,18
20대,남성,스트리트,15.2,맑음,49.0,3.9,재킷,퍼플,노멀,우븐,카무플라쥬,팬츠,퍼플,노멀,우븐,카무플라쥬,0
20대,남성,스트리트,15.0,맑음,33.4,2.3,티셔츠,퍼플,노멀,우븐,카무플라쥬,조거팬츠,퍼플,노멀,우븐,카무플라쥬,18
20대,남성,스트리트,15.0,맑음,33.4,2.3,재킷,퍼플,노멀,우븐,카무플라쥬,팬츠,퍼플,노멀,우븐,카무플라쥬,18
20대,남성,스트리트,15.0,맑음,33.4,2.3,재킷,퍼플,노멀,우븐,무지,팬츠,퍼플,노멀,우븐,무지,18
20대,남성,스트리트,13.9,맑음,61.53514063267166,12.4,티셔츠,화이트,노멀,저지,무지,팬츠,블랙,발목,가죽,무지,16
20대,남성,스트리트,15.0,맑음,33.4,2.3,티셔츠,화이트,노멀,저지,무지,팬츠,화이트,노멀,저지,무지,18
20대,남성,스트리트,17.9,맑음,37.5,1.6,티셔츠,화이트,노멀,저지,무지,팬츠,화이트,노멀,저지,무지,18
20대,남성,스트리트,17.9,맑음,37.5,1.6,셔츠,베이지,노멀,우븐,무지,팬츠,베이지,노멀,우븐,무지,18
20대,남성,스트리트,17.9,맑음,37.5,1.6,티셔츠,블랙,노멀,우븐,무지,청바지,블랙,발목,데님,무지,18
20대,남성,스트리트,17.9,맑음,37.5,1.6,티셔츠,블루,노멀,데님,무지,청바지,블루,노멀,데님,무지,18
20대,남성,스트리트,17.9,맑음,37.5,1.6,티셔츠,카키,발목,우븐,무지,팬츠,카키,발목,우븐,무지,18
20대,남성,스트리트,17.9,맑음,37.5,1.6,티셔츠,카키,발목,우븐,무지,팬츠,카키,발목,우븐,무지,18
20대,남성,스트리트,17.9,맑음,37.5,1.6,베스트,블랙,발목,패딩,무지,팬츠,블랙,발목,패딩,무지,18
30대,남성,스트리트,17.9,맑음,37.5,1.6,재킷,블랙,롱,우븐,무지,조거팬츠,블랙,발목,우븐,무지,18
30대,남성,스트리트,17.9,맑음,37.5,1.6,재킷,그린,롱,우븐,무지,팬츠,그린,롱,우븐,무지,18
30대,남성,스트리트,17.9,맑음,37.5,1.6,재킷,블루,발목,데님,무지,팬츠,블랙,발목,우븐,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,재킷,블랙,노멀,우븐,무지,팬츠,그레이,노멀,우븐,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,13.128141253764031,맑음,61.53514063267166,2.544143524883145,후드티,그린,노멀,우븐,무지,청바지,스카이블루,노멀,저지,무지,1
20대,남성,스트리트,17.1,맑음,28.5,2.3,티셔츠,스카이블루,노멀,저지,무지,팬츠,스카이블루,노멀,저지,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,재킷,스카이블루,노멀,저지,무지,청바지,스카이블루,노멀,저지,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,재킷,스카이블루,노멀,저지,무지,팬츠,스카이블루,노멀,저지,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,티셔츠,스카이블루,노멀,저지,무지,팬츠,스카이블루,노멀,저지,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,티셔츠,스카이블루,노멀,저지,무지,청바지,스카이블루,노멀,저지,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,티셔츠,스카이블루,노멀,저지,무지,팬츠,스카이블루,노멀,저지,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,짚업,스카이블루,노멀,저지,무지,팬츠,스카이블루,노멀,저지,무지,18
20대,남성,스트리트,17.1,맑음,28.5,2.3,재킷,스카이블루,노멀,저지,무지,팬츠,스카이블루,노멀,저지,무지,18
20대,남성,스트리트,15.5,맑음,52.8,1.6,재킷,블랙,롱,우븐,깅엄,팬츠,블랙,발목,우븐,무지,11
10대,남성,스트리트,15.5,맑음,52.8,1.6,재킷,블랙,롱,우븐,깅엄,팬츠,블랙,롱,우븐,깅엄,11
20대,남성,스트리트,11.5,맑음,61.53514063267166,9.6,니트웨어,블랙,롱,우븐,깅엄,팬츠,블랙,롱,우븐,깅엄,16
20대,남성,스트리트,15.5,맑음,52.8,1.6,셔츠,블랙,롱,우븐,깅엄,팬츠,블랙,롱,우븐,깅엄,11
20대,남성,스트리트,15.5,맑음,52.8,1.6,재킷,블랙,롱,우븐,깅엄,팬츠,블랙,롱,우븐,깅엄,11
20대,남성,스트리트,13.0,맑음,52.9,0.9,베스트,블랙,노멀,우븐,깅엄,청바지,블랙,노멀,우븐,깅엄,11
20대,남성,스트리트,13.0,맑음,52.9,0.9,니트웨어,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,11
20대,남성,스트리트,13.0,맑음,52.9,0.9,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,11
20대,남성,스트리트,13.0,맑음,52.9,0.9,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,11
20대,남성,스트리트,13.0,맑음,52.9,0.9,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,11
20대,남성,스트리트,13.0,비,87.9,2.6,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,13.0,비,87.9,2.6,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,13.0,비,87.9,2.6,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
10대,남성,스트리트,8.4,비,82.1,1.5,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
10대,남성,스트리트,8.4,비,82.1,1.5,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,재킷,블랙,노멀,우븐,무지,팬츠,블랙,발목,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,티셔츠,블랙,노멀,우븐,무지,팬츠,카키,하프,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,후드티,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
10대,남성,스트리트,8.4,비,82.1,1.5,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,티셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,13
20대,남성,스트리트,8.4,비,82.1,1.5,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,13
20대,남성,스트리트,12.8,비,61.53514063267166,17.7,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,16
20대,남성,스트리트,13.128141253764031,맑음,61.53514063267166,2.544143524883145,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,1
20대,남성,스트리트,13.2,비,75.9,2.0,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,13.2,비,75.9,2.0,블라우스,블랙,노멀,우븐,무지,스커트,블랙,노멀,우븐,무지,9
20대,남성,스트리트,13.2,비,75.9,2.0,후드티,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,18.6,비,61.53514063267166,10.0,재킷,블랙,노멀,우븐,무지,스커트,블랙,노멀,우븐,무지,16
20대,남성,스트리트,13.2,비,75.9,2.0,니트웨어,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,13.2,비,75.9,2.0,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,19.5,비,70.4,1.6,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,2
20대,남성,스트리트,19.5,비,70.4,1.6,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,2
20대,남성,스트리트,19.5,비,70.4,1.6,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,2
20대,남성,스트리트,19.5,비,70.4,1.6,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,2
20대,남성,스트리트,19.5,비,70.4,1.6,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,2
20대,남성,스트리트,19.5,비,70.4,1.6,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,2
20대,남성,스트리트,19.5,비,70.4,1.6,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,2
30대,남성,스트리트,19.5,비,70.4,1.6,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,2
20대,남성,스트리트,19.3,안개,50.6,1.4,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.3,안개,50.6,1.4,패딩,블랙,노멀,우븐,무지,조거팬츠,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.3,안개,50.6,1.4,가디건,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.3,안개,50.6,1.4,베스트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
40대,남성,스트리트,19.3,안개,50.6,1.4,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.3,안개,50.6,1.4,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.3,안개,50.6,1.4,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,0
20대,남성,스트리트,19.3,안개,50.6,1.4,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
20대,남성,스트리트,13.8,안개,57.5,1.6,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,11
20대,남성,스트리트,13.8,안개,57.5,1.6,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,11
20대,남성,스트리트,13.8,안개,57.5,1.6,후드티,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,11
20대,남성,스트리트,12.6,비,74.4,2.0,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
40대,남성,스트리트,12.6,비,74.4,2.0,점퍼,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,짚업,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,패딩,블랙,노멀,우븐,무지,조거팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,9
20대,남성,스트리트,12.6,비,74.4,2.0,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,9
30대,남성,스트리트,12.6,비,74.4,2.0,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
30대,남성,스트리트,12.6,비,74.4,2.0,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
30대,남성,스트리트,12.6,비,74.4,2.0,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,18.0,맑음,43.5,3.9,후드티,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,0
20대,남성,스트리트,15.3,맑음,37.5,1.9,니트웨어,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,18
20대,남성,스트리트,15.3,맑음,37.5,1.9,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,18.0,맑음,43.5,3.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,0
30대,남성,스트리트,15.3,맑음,37.5,1.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
30대,남성,스트리트,15.3,맑음,37.5,1.9,패딩,블랙,노멀,우븐,무지,조거팬츠,블랙,노멀,우븐,무지,18
30대,남성,스트리트,15.3,맑음,37.5,1.9,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
30대,남성,스트리트,15.3,맑음,37.5,1.9,티셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,18
20대,남성,스트리트,11.6,맑음,30.9,1.8,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,9.0,맑음,61.53514063267166,18.8,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,11.6,맑음,30.9,1.8,티셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,11.6,맑음,30.9,1.8,짚업,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,18
20대,남성,스트리트,11.4,안개,48.5,2.2,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,11.4,안개,48.5,2.2,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,11.4,안개,48.5,2.2,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,11.4,안개,48.5,2.2,티셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,11.4,안개,48.5,2.2,티셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,11.4,안개,48.5,2.2,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,11.4,안개,48.5,2.2,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,11.2,비,61.53514063267166,18.2,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,9.5,안개,58.0,1.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,10.5,맑음,64.1,1.1,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,1
20대,남성,스트리트,10.5,맑음,64.1,1.1,재킷,블랙,노멀,우븐,무지,스커트,블랙,노멀,우븐,무지,1
20대,남성,스트리트,9.5,안개,58.0,1.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,니트웨어,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,9.5,안개,58.0,1.9,점퍼,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,7.1,비,78.4,1.8,후드티,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,17
20대,남성,스트리트,7.1,비,78.4,1.8,티셔츠,스카이블루,노말,우븐,무지,청바지,스카이블루,발목,데님,무지,17
20대,남성,스트리트,9.7,비,74.4,4.0,셔츠,라벤더,발목,패딩,무지,팬츠,라벤더,발목,패딩,무지,9
20대,남성,스트리트,9.7,비,74.4,4.0,티셔츠,화이트,노멀,우븐,무지,팬츠,라벤더,발목,패딩,무지,9
20대,남성,스트리트,9.7,비,74.4,4.0,후드티,블랙,노멀,우븐,레터링,팬츠,블랙,노멀,우븐,무지,9
20대,남성,스트리트,7.1,비,78.4,1.8,가디건,블랙,노멀,우븐,레터링,청바지,블랙,노멀,우븐,레터링,17
20대,남성,스트리트,7.1,비,78.4,1.8,재킷,그레이,노멀,패딩,무지,팬츠,블랙,발목,우븐,무지,17
20대,남성,스트리트,5.3,비,61.53514063267166,10.2,코트,블랙,롱,우븐,무지,팬츠,블랙,노멀,패딩,무지,16
20대,남성,스트리트,7.1,비,78.4,1.8,셔츠,그린,롱,우븐,무지,청바지,그린,롱,우븐,무지,17
30대,남성,스트리트,7.1,비,78.4,1.8,티셔츠,블루,노멀,우븐,무지,청바지,블루,발목,데님,무지,17
40대,남성,스트리트,7.1,비,78.4,1.8,재킷,블루,발목,데님,무지,청바지,블루,발목,데님,무지,17
30대,남성,스트리트,7.1,비,78.4,1.8,재킷,블루,발목,데님,무지,청바지,블루,발목,데님,무지,17
30대,남성,스트리트,7.1,비,78.4,1.8,티셔츠,블루,발목,데님,무지,팬츠,블루,발목,데님,무지,17
20대,남성,스트리트,11.2,비,59.1,4.5,재킷,블루,발목,데님,무지,팬츠,블루,발목,데님,무지,1
20대,남성,스트리트,9.2,비,49.1,2.4,재킷,블루,발목,데님,무지,팬츠,블루,발목,데님,무지,5
30대,남성,스트리트,11.2,비,59.1,4.5,셔츠,블루,발목,데님,무지,팬츠,블루,발목,데님,무지,1
20대,남성,스트리트,11.2,비,59.1,4.5,재킷,블루,발목,데님,무지,팬츠,블루,발목,데님,무지,1
20대,남성,스트리트,9.2,비,49.1,2.4,셔츠,블루,발목,데님,무지,팬츠,베이지,발목,데님,무지,5
20대,남성,스트리트,9.2,비,49.1,2.4,셔츠,베이지,발목,데님,무지,청바지,베이지,발목,데님,무지,5
20대,남성,스트리트,9.2,비,49.1,2.4,재킷,베이지,발목,데님,무지,팬츠,베이지,발목,데님,무지,5
20대,남성,스트리트,9.2,비,49.1,2.4,패딩,베이지,발목,데님,무지,팬츠,베이지,발목,데님,무지,5
20대,남성,스트리트,9.2,비,49.1,2.4,티셔츠,베이지,발목,데님,무지,팬츠,베이지,발목,데님,무지,5
20대,남성,스트리트,9.2,비,49.1,2.4,재킷,베이지,발목,데님,무지,팬츠,베이지,발목,데님,무지,5
