나이,성별,스타일,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속,상의 카테고리,상의 색상,상의 기장,상의 소재,상의 프린트,하의 카테고리,하의 색상,하의 기장,하의 소재,하의 프린트,Cluster
20대,남성,스트리트,6.7,비,60.8,3.7,셔츠,스카이블루,발목,우븐,무지,팬츠,스카이블루,발목,우븐,무지,4
20대,남성,스트리트,6.7,비,60.8,3.7,짚업,스카이블루,발목,우븐,무지,청바지,스카이블루,발목,우븐,무지,4
20대,남성,스트리트,6.7,비,60.8,3.7,재킷,스카이블루,발목,우븐,무지,청바지,스카이블루,발목,우븐,무지,1
20대,남성,스트리트,6.7,비,60.8,3.7,재킷,스카이블루,발목,우븐,무지,청바지,스카이블루,발목,우븐,무지,1
20대,남성,스트리트,7.1,맑음,28.6,2.4,재킷,스카이블루,발목,우븐,무지,청바지,스카이블루,발목,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,짚업,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,티셔츠,블랙,노멀,우븐,무지,조거팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,패딩,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.1,맑음,28.6,2.4,셔츠,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,19
20대,남성,스트리트,8.9,안개,68.5,2.3,재킷,스카이블루,노멀,우븐,무지,팬츠,스카이블루,노멀,우븐,무지,9
20대,남성,스트리트,8.9,안개,68.5,2.3,재킷,스카이블루,노멀,우븐,무지,청바지,스카이블루,노멀,우븐,무지,9
30대,남성,스트리트,8.9,안개,68.5,2.3,점퍼,스카이블루,노멀,우븐,무지,팬츠,스카이블루,노멀,우븐,무지,9
20대,남성,스트리트,8.9,안개,68.5,2.3,후드티,스카이블루,노멀,우븐,무지,팬츠,스카이블루,노멀,우븐,무지,9
20대,남성,스트리트,8.9,안개,68.5,2.3,짚업,스카이블루,노멀,우븐,무지,청바지,스카이블루,노멀,우븐,무지,9
30대,남성,스트리트,8.5,안개,58.3,2.544143524883145,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,8.5,안개,58.3,2.544143524883145,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,8.5,안개,58.3,2.544143524883145,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,8.5,안개,58.3,2.544143524883145,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
20대,남성,스트리트,8.5,안개,58.3,2.544143524883145,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.5,맑음,57.6,2.7,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.5,맑음,57.6,2.7,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.5,맑음,57.6,2.7,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,5
